"","MIC_003_HMP","MIC_009_HMP","MIC_010_HMP","MIC_011_HMP","MIC_012_HMP","MIC_013_HMP","MIC_017_HMP","MIC_019_HMP","MIC_022_HMP","MIC_026_HMP","MIC_033_HMP","MIC_034_HMP","MIC_047_HMP","MIC_050_HMP","MIC_052_HMP","MIC_055_HMP","MIC_056_HMP","MIC_059_HMP","MIC_062_HMP","MIC_064_HMP","MIC_065_HMP","MIC_005_HMP","MIC_006_HMP","MIC_007_HMP","MIC_014_HMP","MIC_015_HMP","MIC_020_HMP","MIC_023_HMP","MIC_025_HMP","MIC_027_HMP","MIC_028_HMP","MIC_029_HMP","MIC_032_HMP","MIC_036_HMP","MIC_037_HMP","MIC_039_HMP","MIC_040_HMP","MIC_043_HMP","MIC_044_HMP","MIC_045_HMP","MIC_049_HMP","MIC_058_HMP","MIC_063_HMP","MIC_066_HMP","MIC_067_HMP","MIC_016_HMP","MIC_021_HMP","MIC_024_HMP","MIC_030_HMP","MIC_031_HMP","MIC_042_HMP","MIC_053_HMP","MIC_054_HMP","MIC_057_HMP"
"Otu0091",0,1,1,0,5,0,0,0,0,1,1,1,0,2,21,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,48,9,0,16,35,0
"Otu0099",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,50,3,0,9,32,0
"Otu0103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,40,1,0,4,4,0
"Otu0104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,13,17,0,13,65,0
"Otu0105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,1,53,0,7,16,0
"Otu0106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,5,1,4,0
"Otu0108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,0,9,22,1
"Otu0118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,64,0,1,5,0
"Otu0119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,28,7,0,5,24,0
"Otu0122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,6,4,12,0
"Otu0128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,4,0,1,3,0
